objID,ra_sdssdr5,dec_sdssdr5,ra_rosatsdssdr5,dec_rosatsdssdr5,distance,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,RASS,SDSS,umag,gmag,rmag,imag,zmag,St,z,CRate,Exp,HR1,HR2,L,FX,g0mag,FXcor,logLX,LogL2500,logL2keV,alpha,Comm,agn_type
587725550133313637,156.1574,63.379598,156.1573,63.37958,0.00144647916011942,215.167,21.311,11.424,48.131,4.48,11.713,75.042,7.333,17.708,111.778,11.013,5.435,102439.3+632259,102437.76+632246.5,20.51,20.11,19.23,18.79,18.65,3,0.201,0.023,644,-0.22,-0.14,11,1.38,20.07,2.33,43.47,28.42,24.94,1.34,Sy1.5,BL_Seyfert
587725550136590345,172.51295,65.941434,172.5129,65.94144,0.0013043519404652,2016.234,77.336,32.831,534.182,15.874,24.105,878.263,27.957,26.145,1046.146,39.919,25.206,113002.0+655653,113003.10+655629.2,18.66,18.36,18.04,17.64,17.61,3,0.133,0.0457,618,-0.23,0.2,31,2.8,18.31,4.82,43.38,28.75,24.85,1.5,Sy1.5,BL_Seyfert
587725550665793663,138.60179,58.107598,138.6018,58.10756,0.0014243397618562,299.892,22.566,21.906,60.067,4.146,10.762,110.986,8.122,13.759,199.807,14.956,16.726,091427.5+580615,091424.43+580627.2,20.48,19.76,18.86,18.5,18.23,3,0.171,0.0244,391,-0.06,1,12,2.52,19.65,6.3,43.75,28.44,25.21,1.24,Sy1.9,BL_Seyfert
587725551741632661,145.09354,61.807269,145.0935,61.80728,0.000622028940059742,76.11,2.599,4.623,96.738,3.042,3.37,40.193,1.333,3.68,18.587,0.631,4.098,094020.7+614837,094022.44+614826.2,19.79,19.11,18.31,17.87,17.63,3,0.211,0.1233,337,0.17,-0.07,60,11.35,18.98,26.16,44.57,28.9,26.04,1.1,BL?_radio,Other_AGN
587725552265789858,114.19441,39.548713,114.1944,39.54869,0.00270540655222825,166.893,5.955,10.545,28.327,1.06,6.114,142.184,5.528,22.764,222.864,7.91,10.026,073649.4+393304,073646.65+393255.3,20.65,19.26,18.34,17.86,17.6,3,0.107,0.0279,449,0.87,0.82,8,3.47,19.07,10.49,43.51,28.24,24.98,1.25,Sy1.9,BL_Seyfert
587725552290824279,211.20655,65.908781,211.2065,65.90878,0.000490834349429066,-999,-999,0.443,46.459,1.682,2.202,13.939,0.534,2.543,-999,-999,0.742,140450.2+655433,140449.57+655431.6,19.55,19.12,18.67,18.31,18.03,3,0.363,0.1814,728,0,-0.1,213,14.34,19.07,29.81,45.2,29.38,26.66,1.04,radio,Other_AGN
587725576423211254,257.54105,64.382405,257.5411,64.38239,0.00096679036709674,909.264,27.251,30.033,190.943,4.636,20.208,129.926,3.373,11.614,624.354,18.614,17.463,171008.8+642306,171009.86+642256.6,19.52,18.91,18.16,17.78,17.56,3,0.256,0.0076,3475,0.66,0.15,15,0.69,18.79,1.58,43.55,29.16,25.02,1.59,Sy1.9,BL_Seyfert
587725576425832716,261.41723,58.574708,261.4172,58.57467,0.00193964665787012,-999,-999,0,33.87,3.093,7.894,168.383,16.281,15.148,-999,-999,0,172539.7+583436,172540.13+583428.8,19.91,19.59,19.55,19.36,19.34,6,0.528,0.0118,1731,1,0.29,20,1.14,19.48,2.71,44.57,29.58,26.03,1.36,Sy1.5,BL_Seyfert
587725576960278853,259.27989,64.029235,259.2798,64.02919,0.0013401668046779,183.801,9.698,12.125,68.779,3.295,11.773,208.391,10.649,30.984,-994,-999,7.485,171708.2+640146,171707.16+640145.1,19.29,18.81,18.31,17.98,17.83,3,0.135,0.0401,3347,0.05,0.17,128,3.69,18.68,8.52,43.65,28.61,25.11,1.34,Sy1.5,BL_Seyfert
587725576962113772,261.68268,60.044113,261.6826,60.04408,0.0020142913664115,1071.417,28.128,27.318,216.752,5.439,20.761,436.543,11.507,28.889,755.806,19.738,26.294,172642.3+600243,172643.83+600238.7,19.83,18.37,17.63,17.21,16.94,3,0.08,0.0039,2111,1,-0.29,7,0.38,18.27,0.92,42.18,28.3,23.65,1.79,Sy2?,NL_Seyfert
