log10..NII..Ha. log10.EW.Ha.. WHAN_Class
-0.47937 -0.48413  0.00000
-0.43221  1.38423  1.00000
-0.32419  1.59741  2.00000
-0.26931  0.85576  2.00000
-0.25078  0.33726  4.00000
-0.40685  1.54795  1.00000
-0.45192  1.84654  1.00000
-0.05703  0.03383  4.00000
 0.00000  0.00000  0.00000
 0.32784 -0.31605  4.00000
 0.04111 -0.36251  4.00000
-0.28053  0.60195  3.00000
-0.36121  1.41529  2.00000
-0.08830  1.31220  2.00000
-0.32709  1.57162  2.00000
-0.37742  1.18130  2.00000
-0.46462  1.40197  1.00000
-0.26871  1.67616  2.00000
-0.25816  1.04852  2.00000
-0.24972  0.54095  3.00000
-0.43614  0.80929  1.00000
-0.43352  1.60667  1.00000
-0.59309  1.83472  1.00000
-1.05174  1.72069  1.00000
-0.04719  0.09760  4.00000
-0.26418  0.70407  3.00000
-0.47954  1.58713  1.00000
-0.42819  1.43194  1.00000
-0.51486  1.44085  1.00000
-0.49352  1.55732  1.00000
-0.11982  0.04999  4.00000
-0.01839  0.48073  3.00000
-0.49019  1.25361  1.00000
-0.47808  1.69864  1.00000
-0.53347  1.69720  1.00000
-0.05690  0.00945  4.00000
-0.48472  1.60758  1.00000
-0.49455  1.55766  1.00000
-0.41356  1.62662  1.00000
-0.63797  1.75083  1.00000
-0.39478  1.34698  2.00000
-0.93261  1.75914  1.00000
-0.42899  1.50807  1.00000
-0.53238  1.54507  1.00000
-0.34591 -0.15801  0.00000
-0.42696  1.50834  1.00000
-0.54741  1.50861  1.00000
-0.41760  1.22248  1.00000
-0.41812  1.45391  1.00000
-0.39113  1.50628  2.00000
-0.51475  1.60074  1.00000
-0.61892  1.57880  1.00000
 0.03100  1.30492  2.00000
-0.73260  1.94404  1.00000
-0.47773  1.44512  1.00000
-0.33826  1.30118  2.00000
-0.43866  1.36008  1.00000
-0.55203  1.81533  1.00000
-0.34820  1.05354  2.00000
-0.25144  0.73432  3.00000
-0.17780  0.50691  3.00000
-0.56911  1.64204  1.00000
-0.67008  1.56188  1.00000
-0.33430  0.81158  2.00000
-0.56780  1.76943  1.00000
-0.42372  1.56444  1.00000
-0.78071  1.80112  1.00000
-0.52384  1.57349  1.00000
-0.49995  1.71056  1.00000
-0.36804  1.38814  2.00000
-0.62411  1.86867  1.00000
-0.28357  0.89515  2.00000
-0.56264  1.69885  1.00000
-0.44910  1.52548  1.00000
-0.31064  0.06893  4.00000
-0.46084  0.15776  0.00000
-0.59530  1.77811  1.00000
-0.34202  1.09061  2.00000
-0.47640  1.69712  1.00000
-0.29671  0.35257  4.00000
-1.02724  1.71616  1.00000
 0.00000  0.00000  0.00000
-0.47411  1.56586  1.00000
 0.00000  0.00000  0.00000
-0.31193  0.92428  2.00000
-0.94593  1.74949  1.00000
-0.28930  1.24207  2.00000
-0.45469  1.82670  1.00000
-0.32778  1.54618  2.00000
 0.00000  0.00000  0.00000
-0.33676  1.30358  2.00000
-0.35535  1.07657  2.00000
-0.19850  0.28285  4.00000
-0.58144  1.75670  1.00000
-0.10505  0.37217  4.00000
-0.50743  1.58127  1.00000
-1.03777  1.67242  1.00000
-0.47098  1.56296  1.00000
-0.45624  1.57375  1.00000
-0.41610  1.77440  1.00000
-0.40432  1.45434  1.00000
-0.54207  1.59670  1.00000
-0.36416  1.42035  2.00000
-0.61958  1.67544  1.00000
-0.40282  1.54009  1.00000
-0.54131  1.77188  1.00000
-0.75288  1.69524  1.00000
-0.41332  1.27935  1.00000
-0.41795  0.71139  1.00000
-0.39926  1.46830  2.00000
-0.16868  0.72754  3.00000
-0.43089  0.94012  1.00000
 0.00000  0.00000  0.00000
-0.30750  1.34984  2.00000
-0.35491  1.31391  2.00000
-0.46819  1.79880  1.00000
-0.27259  0.86711  2.00000
 0.00000  0.00000  0.00000
-0.66927  1.77485  1.00000
-0.21700  1.17846  2.00000
-0.42341  1.37201  1.00000
-0.46878  1.68105  1.00000
-0.34883  0.88598  2.00000
-0.39395  0.86267  2.00000
 0.04686  0.12090  4.00000
-0.45901  1.65581  1.00000
-0.23007  1.55920  2.00000
-0.36765  1.35875  2.00000
-0.42084  1.19089  1.00000
-0.44490  1.28659  1.00000
-0.33866  0.61077  3.00000
-0.38999  1.73705  2.00000
-0.52037  1.73230  1.00000
-0.45532  1.71560  1.00000
-0.40702  1.54487  1.00000
-0.36267  0.88058  2.00000
-0.42862  1.41552  1.00000
-0.25936  0.63749  3.00000
-0.17266  0.94734  2.00000
-0.32977  1.10298  2.00000
-0.45094  1.56241  1.00000
-0.40171  1.36899  1.00000
-0.26792  1.29228  2.00000
-0.36415  1.24391  2.00000
 0.12729 -0.13727  4.00000
-0.82924  1.96174  1.00000
-0.44412  1.61404  1.00000
-0.10499  0.70834  3.00000
-0.23415  1.42991  2.00000
-0.46477  1.50541  1.00000
-0.36057  1.42208  2.00000
 0.00000  0.00000  0.00000
-0.54518  1.67365  1.00000
-0.11956  1.14289  2.00000
-0.19556  0.48558  3.00000
-0.50503  1.71931  1.00000
-0.48675  1.73911  1.00000
-0.19296  0.43537  4.00000
-0.41752  1.31150  1.00000
-0.28768  0.74178  3.00000
-0.13525  0.26529  4.00000
-0.56981  1.64802  1.00000
-0.57486  1.45169  1.00000
-0.35485  1.01912  2.00000
-0.60271  1.67814  1.00000
 0.00000  0.00000  0.00000
-0.54503  1.59969  1.00000
-0.45528  1.52080  1.00000
-0.17663  1.03262  2.00000
-0.22838  0.73062  3.00000
-0.58894  1.74877  1.00000
-0.15565  0.68619  3.00000
 0.00000  0.00000  0.00000
-0.38269  1.50472  2.00000
-0.51479  1.79410  1.00000
-0.59333  1.59316  1.00000
-0.56463  1.54109  1.00000
-0.52655  1.65055  1.00000
-0.44827 -0.13077  0.00000
-0.44706  1.59580  1.00000
-0.58440  1.57887  1.00000
-0.42187  0.85992  1.00000
-0.42654  1.34539  1.00000
-0.59436  1.41521  1.00000
-0.54477  1.25486  1.00000
-0.55992  1.84624  1.00000
-0.43155  0.72485  1.00000
-0.18357  0.04060  4.00000
-0.52442  1.59720  1.00000
-0.48522  1.40926  1.00000
-0.27172  1.20273  2.00000
 0.00000  0.00000  0.00000
-0.60345  1.75278  1.00000
-0.07848  0.71958  3.00000
-0.42657  1.33080  1.00000
-0.26689  1.32564  2.00000
-0.40215  1.66557  1.00000
-0.50331  1.45202  1.00000
-0.59546  1.46962  1.00000
-0.41512  1.42664  1.00000
 0.00000  0.00000  0.00000
-0.44113  1.72814  1.00000
-0.50507  1.36320  1.00000
-0.37001  1.32438  2.00000
-0.29791  0.67034  3.00000
-0.58110  1.57575  1.00000
-0.32110  1.50346  2.00000
-0.14451  1.02527  2.00000
-0.35313  1.54808  2.00000
-0.87233  1.57572  1.00000
-0.47879  1.90221  1.00000
-0.40521  1.55979  1.00000
 0.00000  0.00000  0.00000
-0.58066  1.61674  1.00000
-0.37184  1.43412  2.00000
-0.47547  1.66847  1.00000
-0.59996  1.48257  1.00000
-0.30442  1.44969  2.00000
-0.03933  0.28937  4.00000
-0.41012  1.49215  1.00000
-0.32419  0.82504  2.00000
-0.58771  1.55942  1.00000
-0.39749  1.43407  2.00000
 0.00000  0.00000  0.00000
-0.29607 -0.06702  0.00000
-0.40968  1.71924  1.00000
 0.00000  0.00000  0.00000
-0.23375  1.34764  2.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
-0.67513  1.77541  1.00000
-0.47955  1.39040  1.00000
 0.00000  0.00000  0.00000
